"","ffid","pod_num","rms_signal.p","rms_noise.p","snr.p","name","Stage","X_Coord_Evt","Y_Coord_Evt","TVD_SS_Evt","Dist.From.Mid.Perf.Depth.From.Wellbore","X","Y","Z","DistToGeophone","DistX","DistY","DistZ","DistPlanar","IncidenceAngle","dom_freq"
"8989",88961,21,0.007126,0.000367,19.438338,"ImagedPerforations",27,1763999.375,563879.75,4173.08984375,35.8056496526042,1764430.74548181,564721.490690988,5076.97956471857,1308.29068295861,431.370481812395,841.74069098779,903.889720968573,945.837133677707,43.7008904441703,261.800507
"8990",88961,22,0.00875,0.000416,21.0289,"ImagedPerforations",27,1763999.375,563879.75,4173.08984375,35.8056496526042,1764431.19176442,564721.441498367,5126.18736288527,1342.87198847782,431.816764419666,841.69149836665,953.097519135274,945.996985437356,45.2142224710075,159.630539
"8991",88961,23,0.009367,0.000402,23.275253,"ImagedPerforations",27,1763999.375,563879.75,4173.08984375,35.8056496526042,1764431.63974489,564721.384123831,5175.39514488969,1378.33839269054,432.264744889922,841.634123831289,1002.30530113969,946.150520832711,46.6508157475195,113.603432
"8992",88961,24,0.006434,0.000383,16.789146,"ImagedPerforations",27,1763999.375,563879.75,4173.08984375,35.8056496526042,1764432.36559112,564721.218982603,5224.6093627576,1414.65338494296,432.990591115085,841.468982602702,1051.5195190076,946.335511685268,48.013752520807,259.2323
"8993",88961,25,0.005178,0.000401,12.908944,"ImagedPerforations",27,1763999.375,563879.75,4173.08984375,35.8056496526042,1764433.12012673,564721.042688461,5273.81321184033,1451.72316771573,433.745126732159,841.29268846137,1100.72336809033,946.524285278754,49.3073958280128,199.585815
"8994",88961,26,0.005606,0.000389,14.417695,"ImagedPerforations",27,1763999.375,563879.75,4173.08984375,35.8056496526042,1764433.94537592,564720.838026282,5323.01584766063,1489.5000147879,434.570375920739,841.088026282261,1149.92600391063,946.720909024028,50.5357645317765,160.566055
"8995",88961,27,0.005683,0.000414,13.7144,"ImagedPerforations",27,1763999.375,563879.75,4173.08984375,35.8056496526042,1764434.78081865,564720.629274779,5372.21830858609,1527.92842006624,435.405818648869,840.879274778883,1199.12846483609,946.919311064017,51.7028041301756,192.898178
"8996",88961,28,0.005638,0.000363,15.53157,"ImagedPerforations",27,1763999.375,563879.75,4173.08984375,35.8056496526042,1764435.6325049,564720.477648418,5421.4306813321,1567.00301090006,436.257504898123,840.727648418164,1248.3408375821,947.17664107318,52.8106486280256,158.779694
"8997",88961,29,0.005452,0.000402,13.55908,"ImagedPerforations",27,1763999.375,563879.75,4173.08984375,35.8056496526042,1764436.4870352,564720.336783396,5470.63303936375,1606.63356625724,437.112035204656,840.58678339608,1297.54319561375,947.445550805388,53.86367124417,166.065277
"8998",88961,30,0.005586,0.000365,15.316279,"ImagedPerforations",27,1763999.375,563879.75,4173.08984375,35.8056496526042,1764437.52810066,564720.300535531,5519.83179826616,1646.88106263209,438.153100663563,840.550535530783,1346.74195451616,947.894162025582,54.8604904055712,204.994751
"8999",88961,31,0.005276,0.000403,13.078501,"ImagedPerforations",27,1763999.375,563879.75,4173.08984375,35.8056496526042,1764438.61292186,564720.288827816,5569.02971291724,1687.6266149232,439.237921859603,840.538827816374,1395.93986916724,948.385719560594,55.8082564704511,198.931519
"9000",88961,32,0.005666,0.000359,15.79216,"ImagedPerforations",27,1763999.375,563879.75,4173.08984375,35.8056496526042,1764439.89629777,564720.414296787,5618.2325776744,1728.93406325957,440.521297774743,840.664296786534,1445.1427339244,949.09192056657,56.7052467028476,160.54718
"9001",88961,33,0.005181,0.000488,10.624063,"ImagedPerforations",27,1763999.375,563879.75,4173.08984375,35.8056496526042,1764441.23601658,564720.578890501,5667.4240053987,1770.66907347093,441.861016581533,840.828890501289,1494.3341616487,949.860190278598,57.5582837366026,158.555344
"9002",88961,34,0.005699,0.000333,17.095871,"ImagedPerforations",27,1763999.375,563879.75,4173.08984375,35.8056496526042,1764442.64227163,564720.952672022,5716.61222826849,1812.88972665823,443.267271627905,841.202672021929,1543.52238451849,950.845838984049,58.3659606241571,198.092102
"9003",88961,35,0.005584,0.000434,12.852595,"ImagedPerforations",27,1763999.375,563879.75,4173.08984375,35.8056496526042,1764444.07118271,564721.397683386,5765.79935986395,1855.49161156412,444.696182708023,841.647683386458,1592.70951611395,951.90625476718,59.1347292853787,202.692001
"9004",88961,36,0.006236,0.000362,17.223202,"ImagedPerforations",27,1763999.375,563879.75,4173.08984375,35.8056496526042,1764445.4989324,564722.110630944,5814.99306288772,1898.53737825675,446.123932398623,842.360630944022,1641.90321913772,953.204068194855,59.8627664738225,254.730331
"9005",88961,37,0.005763,0.000448,12.864076,"ImagedPerforations",27,1763999.375,563879.75,4173.08984375,35.8056496526042,1764446.92581044,564722.930733087,5864.17539962466,1941.91293158561,447.550810436951,843.180733086774,1691.08555587466,954.5970231315,60.5558058106396,198.832535
"9006",88961,38,0.006072,0.000437,13.901943,"ImagedPerforations",27,1763999.375,563879.75,4173.08984375,35.8056496526042,1764448.42471616,564723.881245063,5913.35319962202,1985.62830214061,449.049716155976,844.131245062687,1740.26335587202,956.139742124991,61.2146187140255,249.794174
"9007",88961,39,0.006091,0.000379,16.062486,"ImagedPerforations",27,1763999.375,563879.75,4173.08984375,35.8056496526042,1764449.95752189,564724.892776433,5962.53887703303,2029.6351308316,450.582521887729,845.142776433378,1789.44903328303,957.753058772576,61.8433164120845,263.675415
"9008",88961,41,0.000353,0.00043,0.819748,"ImagedPerforations",27,1763999.375,563879.75,4173.08984375,35.8056496526042,1764444.74791641,567717.459845816,2116.77603091968,4376.61974498421,445.372916414635,3837.70984581602,2056.31381283032,3863.46656454393,28.0239524946364,190.808929
"9009",88961,42,0.000256,0.000405,0.631676,"ImagedPerforations",27,1763999.375,563879.75,4173.08984375,35.8056496526042,1764444.80288498,567717.924540023,2165.9836920268,4354.13193468971,445.427884977544,3838.17454002344,2007.1061517232,3863.93449742612,27.4494499629398,195.606491
"9010",88961,43,0.000435,0.00034,1.279716,"ImagedPerforations",27,1763999.375,563879.75,4173.08984375,35.8056496526042,1764444.88552924,567718.432920784,2215.19081348384,4332.12820801784,445.510529240826,3838.68292078446,1957.89903026616,3864.44901609359,26.8687693155376,194.695312
"9011",88961,44,0.000387,0.000327,1.185339,"ImagedPerforations",27,1763999.375,563879.75,4173.08984375,35.8056496526042,1764445.06300879,567719.091077424,2264.40608548465,4310.71356031043,445.688008792233,3839.34107742424,1908.68375826535,3865.12324641508,26.281183640874,100.486977
"9012",88961,46,0.00048,0.000383,1.252214,"ImagedPerforations",27,1763999.375,563879.75,4173.08984375,35.8056496526042,1764445.40149734,567720.362805294,2362.8172428625,4269.23099000676,446.026497335639,3840.61280529352,1810.2726008875,3866.42552708701,25.0891414789052,146.952255
"9013",88961,47,0.000426,0.000354,1.20407,"ImagedPerforations",27,1763999.375,563879.75,4173.08984375,35.8056496526042,1764445.55265678,567720.966974392,2412.02325596768,4249.16202001873,446.177656782791,3841.2169743916,1761.06658778232,3867.04310110016,24.4847057144231,199.644196
